143, 2023-12-11, Monthly Stand Fee, 1922, 175.00, 26.25, 201.25
144, 2023-12-11, Monthly Stand Fee, 1923, 175.00, 26.25, 201.25
145, 2023-12-11, Monthly Stand Fee, 1924, 175.00, 26.25, 201.25
146, 2023-12-11, Weekly Rental Fee, 1925, 300.00, 45.00, 345.00
147, 2023-12-11, Daily Rental Fee, 1926, 120.00, 18.00, 138.00
148, 2023-12-11, Daily Rental Fee, 1927, 60.00, 9.00, 69.00
149, 2023-12-11, Daily Rental Fee, 1928, 180.00, 27.00, 207.00
150, 2023-12-11, Monthly Stand Fee, 1929, 175.00, 26.25, 201.25
151, 2023-12-11, Weekly Rental Fee, 1930, 300.00, 45.00, 345.00
152, 2023-12-11, Monthly Stand Fee, 1931, 175.00, 26.25, 201.25
