143, 2021-05-05, Monthly Stand Fee, 1992, 175.00, 26.25, 201.25
144, 2023-02-02, Monthly Stand Fee, 1993, 175.00, 26.25, 201.25
145, 2023-05-05, Daily Car Rental, 1994, 60.00, 9.00, 69.00
145, 2023-05-05, Daily Car Rental, 1994, 60.00, 9.00, 69.00
145, 2023-05-05, Daily Car Rental, 1994, 60.00, 9.00, 69.00
145, 2023-05-05, Monthly Stand Fee, 1994, 175.00, 26.25, 201.25
146, 2023-05-05, Weekly Car Rental, 1995, 300.00, 45.00, 345.00
146, 2023-05-05, Daily Car Rental, 1995, 60.00, 9.00, 69.00
147, 2025-05-05, Weekly Car Rental, 1996, 300.00, 45.00, 345.00
146, 2020-10-10, Daily Car Rental, 1995, 60.00, 9.00, 69.00
147, 2020-11-11, Monthly Stand Fee, 1996, 175.00, 26.25, 201.25
148, 2020-12-12, Weekly Car Rental, 1997, 300.00, 45.00, 345.00
146, 2020-10-10, Monthly Stand Fee, 1995, 175.00, 26.25, 201.25
146, 2023-05-05, Daily Car Rental, 1995, 60.00, 9.00, 69.00
